iter	Passed	Remaining
1341	53735	86408
1342	53773	86366
1343	53821	86338
1344	53875	86320
1345	53919	86286
1346	53969	86263
1347	54022	86243
1348	54071	86218
1349	54110	86175
1350	54150	86136
1351	54196	86104
1352	54239	86070
1353	54284	86036
1354	54325	85999
1355	54368	85963
1356	54418	85938
1357	54463	85906
1358	54504	85867
1359	54547	85831
1360	54587	85792
1361	54628	85753
1362	54671	85717
1363	54708	85672
1364	54754	85641
1365	54794	85601
1366	54835	85562
1367	54878	85526
1368	54916	85483
1369	54954	85439
1370	54995	85401
1371	55040	85369
1372	55077	85324
1373	55120	85287
1374	55156	85241
1375	55195	85200
1376	55234	85157
1377	55276	85120
1378	55322	85089
1379	55364	85052
1380	55407	85016
1381	55443	84971
1382	55483	84930
1383	55521	84887
1384	55562	84848
1385	55607	84816
1386	55656	84788
1387	55697	84750
1388	55771	84761
1389	55809	84718
1390	55847	84674
1391	55884	84629
1392	55922	84585
1393	55956	84536
1394	55999	84501
1395	56040	84462
1396	56080	84422
1397	56116	84375
1398	56161	84341
1399	56200	84301
1400	56242	84263
1401	56290	84234
1402	56328	84191
1403	56366	84147
1404	56410	84113
1405	56451	84074
1406	56487	84028
1407	56527	83988
1408	56568	83949
1409	56607	83907
1410	56648	83868
1411	56693	83835
1412	56732	83793
1413	56773	83754
1414	56818	83722
1415	56856	83678
1416	56904	83649
1417	56950	83617
1418	56990	83578
1419	57036	83546
1420	57077	83507
1421	57116	83465
1422	57155	83423
1423	57193	83379
1424	57231	83337
1425	57267	83291
1426	57314	83260
1427	57356	83223
1428	57400	83188
1429	57441	83148
1430	57478	83105
1431	57517	83063
1432	57560	83027
1433	57595	82979
1434	57632	82934
1435	57672	82894
1436	57712	82853
1437	57748	82806
1438	57781	82757
1439	57820	82715
1440	57857	82671
1441	57893	82625
1442	57928	82576
1443	57966	82533
1444	58010	82499
1445	58048	82455
1446	58086	82412
1447	58123	82367
1448	58160	82324
1449	58198	82280
1450	58237	82238
1451	58277	82199
1452	58321	82163
1453	58359	82121
1454	58395	82074
1455	58431	82029
1456	58470	81987
1457	58516	81955
1458	58558	81917
1459	58601	81881
1460	58641	81841
1461	58681	81800
1462	58719	81757
1463	58767	81728
1464	58808	81689
1465	58849	81650
1466	58883	81601
1467	58919	81556
1468	58958	81514
1469	58993	81467
1470	59031	81424
1471	59080	81395
1472	59124	81360
1473	59164	81321
1474	59200	81274
1475	59237	81230
1476	59274	81185
1477	59313	81144
1478	59350	81100
1479	59386	81054
1480	59419	81004
1481	59456	80960
1482	59491	80913
1483	59537	80881
1484	59579	80843
1485	59616	80798
1486	59652	80752
1487	59691	80712
1488	59731	80671
1489	59770	80629
1490	59808	80586
1491	59847	80545
1492	59885	80502
1493	59923	80459
1494	59963	80419
1495	60001	80375
1496	60045	80340
1497	60088	80305
1498	60130	80267
1499	60172	80229
1500	60210	80186
1501	60254	80151
1502	60294	80112
1503	60336	80074
1504	60376	80033
1505	60418	79996
1506	60456	79953
1507	60495	79912
1508	60536	79872
1509	60573	79828
1510	60617	79793
1511	60657	79753
1512	60703	79720
1513	60740	79676
1514	60779	79635
1515	60823	79600
1516	60867	79565
1517	60905	79522
1518	60946	79482
1519	60981	79436
1520	61026	79403
1521	61066	79362
1522	61103	79317
1523	61139	79273
1524	61179	79232
1525	61219	79192
1526	61263	79156
1527	61299	79111
1528	61338	79069
1529	61381	79033
1530	61420	78992
1531	61461	78952
1532	61497	78907
1533	61535	78864
1534	61580	78830
1535	61620	78790
1536	61658	78748
1537	61699	78708
1538	61732	78659
1539	61768	78614
1540	61808	78574
1541	61849	78534
1542	61894	78501
1543	61938	78466
1544	61982	78430
1545	62048	78424
1546	62089	78384
1547	62134	78350
1548	62172	78308
1549	62210	78265
1550	62252	78227
1551	62296	78191
1552	62332	78145
1553	62373	78107
1554	62413	78066
1555	62447	78019
1556	62484	77975
1557	62526	77937
1558	62568	77899
1559	62611	77863
1560	62652	77824
1561	62694	77786
1562	62737	77749
1563	62779	77711
1564	62817	77669
1565	62852	77622
1566	62891	77581
1567	62934	77544
1568	62970	77498
1569	63013	77463
1570	63052	77420
1571	63095	77384
1572	63137	77346
1573	63174	77301
1574	63213	77261
1575	63250	77217
1576	63288	77174
1577	63326	77131
1578	63364	77088
1579	63401	77044
1580	63440	77003
1581	63478	76960
1582	63520	76922
1583	63566	76889
1584	63604	76846
1585	63641	76803
1586	63684	76767
1587	63722	76724
1588	63761	76682
1589	63797	76637
1590	63836	76595
1591	63875	76554
1592	63911	76509
1593	63953	76471
1594	63994	76432
1595	64037	76395
1596	64075	76352
1597	64114	76311
1598	64150	76266
1599	64211	76250
1600	64248	76207
1601	64293	76173
1602	64338	76138
1603	64379	76099
1604	64417	76057
1605	64453	76012
1606	64490	75967
1607	64527	75923
1608	64569	75885
1609	64606	75842
1610	64648	75804
1611	64690	75766
1612	64734	75730
1613	64775	75691
1614	64812	75648
1615	64851	75607
1616	64892	75567
1617	64934	75529
1618	64978	75494
1619	65025	75461
1620	65066	75422
1621	65106	75381
1622	65145	75340
1623	65187	75302
1624	65228	75263
1625	65282	75239
1626	65329	75206
1627	65367	75164
1628	65406	75122
1629	65447	75084
1630	65489	75045
1631	65525	75001
1632	65562	74957
1633	65599	74913
1634	65636	74869
1635	65671	74824
1636	65708	74779
1637	65746	74737
1638	65783	74694
1639	65820	74650
1640	65856	74605
1641	65890	74557
1642	65924	74510
1643	65959	74465
1644	65993	74418
1645	66028	74371
1646	66069	74332
1647	66109	74292
1648	66154	74258
1649	66202	74227
1650	66243	74187
1651	66292	74157
1652	66338	74124
1653	66388	74095
1654	66423	74049
1655	66458	74003
1656	66495	73959
1657	66537	73921
1658	66575	73878
1659	66611	73834
1660	66652	73795
1661	66694	73757
1662	66727	73709
