iter	RMSE
1386	0.449689948
1387	0.4496465543
1388	0.4496041564
1389	0.449562972
1390	0.4495195262
1391	0.4494888634
1392	0.4494130191
1393	0.4493470036
1394	0.4492944838
1395	0.4492002718
1396	0.4491708225
1397	0.4490976068
1398	0.4490137662
1399	0.448960677
1400	0.4488895999
1401	0.4487848519
1402	0.4487009863
1403	0.448635752
1404	0.448543335
1405	0.448457452
1406	0.4484143158
1407	0.448365855
1408	0.4483180681
1409	0.4482864768
1410	0.4482157535
1411	0.4481848387
1412	0.4481369007
1413	0.4480454695
1414	0.447989609
1415	0.447939253
1416	0.4478887688
1417	0.4477881169
1418	0.4477106825
1419	0.4476383739
1420	0.4475784339
1421	0.4474853101
1422	0.4474089974
1423	0.4473872052
1424	0.4473278056
1425	0.4472542948
1426	0.4471878319
1427	0.447125251
1428	0.4470816853
1429	0.4470076391
1430	0.4469237644
1431	0.4468673194
1432	0.4467777083
1433	0.4467035827
1434	0.446631432
1435	0.4465561458
1436	0.4464938675
1437	0.4464372931
1438	0.4463709462
1439	0.4463132137
1440	0.4462905279
1441	0.4462580197
1442	0.4462092677
1443	0.446147547
1444	0.4460884009
1445	0.4460260404
1446	0.4459803424
1447	0.4459025169
1448	0.445851811
1449	0.4458153405
1450	0.4457750521
1451	0.4457233375
1452	0.4456889649
1453	0.4456340681
1454	0.4456011058
1455	0.4455608194
1456	0.4455167065
1457	0.4454760922
1458	0.4454284876
1459	0.4453832235
1460	0.445327283
1461	0.4452525791
1462	0.4451837134
1463	0.445106766
1464	0.4450542496
1465	0.4449954245
1466	0.4448961856
1467	0.4448438515
1468	0.4447653982
1469	0.4447263883
1470	0.4446398557
1471	0.4445995483
1472	0.4445587556
1473	0.4445181695
1474	0.4444583024
1475	0.44441518
1476	0.4443693248
1477	0.444306151
1478	0.4442568981
1479	0.4441891462
1480	0.4441518659
1481	0.4440763997
1482	0.4440200537
1483	0.4439099573
1484	0.4438130386
1485	0.443766028
1486	0.44368928
1487	0.4436417522
1488	0.4436052261
1489	0.4435419599
1490	0.4435140215
1491	0.4434613327
1492	0.443405673
1493	0.4433569335
1494	0.4432902862
1495	0.4432348942
1496	0.4431919086
1497	0.4431144549
1498	0.4430660767
1499	0.4430115396
1500	0.4429571024
1501	0.4428907432
1502	0.4428346611
1503	0.4427613772
1504	0.4426995869
1505	0.4426432699
1506	0.442581512
1507	0.4425240406
1508	0.442488776
1509	0.4424076094
1510	0.4423657921
1511	0.4423261504
1512	0.4422823769
1513	0.4422159251
